fips,geo_name,individual_party,is_incumbent,name,party,rank,reporting_pct,state,vote_pct,votes
18119,Owen County,,True,M. Pence,Republican,1,100.0,Indiana,,
18121,Parke County,,False,J. Gregg,Democratic,1,100.0,Indiana,,
18121,Parke County,,True,M. Pence,Republican,1,100.0,Indiana,,
18123,Perry County,,False,J. Gregg,Democratic,1,100.0,Indiana,,
18123,Perry County,,True,M. Pence,Republican,1,100.0,Indiana,,
18125,Pike County,,False,J. Gregg,Democratic,1,100.0,Indiana,,
18125,Pike County,,True,M. Pence,Republican,1,100.0,Indiana,,
18127,Porter County,,False,J. Gregg,Democratic,1,100.0,Indiana,,
18127,Porter County,,True,M. Pence,Republican,1,100.0,Indiana,,
18129,Posey County,,False,J. Gregg,Democratic,1,100.0,Indiana,,
18129,Posey County,,True,M. Pence,Republican,1,100.0,Indiana,,
18131,Pulaski County,,False,J. Gregg,Democratic,1,100.0,Indiana,,
18131,Pulaski County,,True,M. Pence,Republican,1,100.0,Indiana,,
18133,Putnam County,,False,J. Gregg,Democratic,1,100.0,Indiana,,
18133,Putnam County,,True,M. Pence,Republican,1,100.0,Indiana,,
18135,Randolph County,,False,J. Gregg,Democratic,1,100.0,Indiana,,
18135,Randolph County,,True,M. Pence,Republican,1,100.0,Indiana,,
18137,Ripley County,,False,J. Gregg,Democratic,1,100.0,Indiana,,
18137,Ripley County,,True,M. Pence,Republican,1,100.0,Indiana,,
18139,Rush County,,False,J. Gregg,Democratic,1,100.0,Indiana,,
18139,Rush County,,True,M. Pence,Republican,1,100.0,Indiana,,
18143,Scott County,,False,J. Gregg,Democratic,1,100.0,Indiana,,
18143,Scott County,,True,M. Pence,Republican,1,100.0,Indiana,,
18145,Shelby County,,False,J. Gregg,Democratic,1,100.0,Indiana,,
18145,Shelby County,,True,M. Pence,Republican,1,100.0,Indiana,,
18147,Spencer County,,False,J. Gregg,Democratic,1,100.0,Indiana,,
18147,Spencer County,,True,M. Pence,Republican,1,100.0,Indiana,,
