fips,geo_name,individual_party,is_incumbent,name,party,rank,reporting_pct,state,vote_pct,votes
29009,Barry County,republican,False,P. Kinder,Republican,4,100.0,Missouri,16.3,1053.0
29009,Barry County,independent_or_other,False,C. Spragins,Independent,1,100.0,Missouri,,
29011,Barton County,democrat,False,C. Koster,Democrat,1,100.0,Missouri,67.9,72.0
29011,Barton County,democrat,False,E. Morrison,Democrat,2,100.0,Missouri,16.0,17.0
29011,Barton County,democrat,False,C. Wheeler,Democrat,3,100.0,Missouri,12.3,13.0
29011,Barton County,democrat,False,L. Steinman,Democrat,4,100.0,Missouri,3.8,4.0
29011,Barton County,republican,False,E. Greitens,Republican,1,100.0,Missouri,34.0,1199.0
29011,Barton County,republican,False,P. Kinder,Republican,2,100.0,Missouri,28.0,987.0
29011,Barton County,republican,False,J. Brunner,Republican,3,100.0,Missouri,24.3,856.0
29011,Barton County,republican,False,C. Hanaway,Republican,4,100.0,Missouri,13.7,482.0
29011,Barton County,independent_or_other,False,C. Spragins,Independent,1,100.0,Missouri,,
29013,Bates County,democrat,False,C. Koster,Democrat,1,100.0,Missouri,78.7,664.0
29013,Bates County,democrat,False,C. Wheeler,Democrat,2,100.0,Missouri,10.5,89.0
29013,Bates County,democrat,False,E. Morrison,Democrat,3,100.0,Missouri,8.4,71.0
29013,Bates County,democrat,False,L. Steinman,Democrat,4,100.0,Missouri,2.4,20.0
29013,Bates County,republican,False,E. Greitens,Republican,1,100.0,Missouri,42.6,876.0
29013,Bates County,republican,False,P. Kinder,Republican,2,100.0,Missouri,20.7,426.0
29013,Bates County,republican,False,J. Brunner,Republican,3,100.0,Missouri,19.2,394.0
29013,Bates County,republican,False,C. Hanaway,Republican,4,100.0,Missouri,17.5,360.0
29013,Bates County,independent_or_other,False,C. Spragins,Independent,1,100.0,Missouri,,
29015,Benton County,democrat,False,C. Koster,Democrat,1,100.0,Missouri,73.7,508.0
29015,Benton County,democrat,False,E. Morrison,Democrat,2,100.0,Missouri,11.5,79.0
29015,Benton County,democrat,False,C. Wheeler,Democrat,3,100.0,Missouri,10.6,73.0
29015,Benton County,democrat,False,L. Steinman,Democrat,4,100.0,Missouri,4.2,29.0
29015,Benton County,republican,False,E. Greitens,Republican,1,100.0,Missouri,41.4,1623.0
29015,Benton County,republican,False,P. Kinder,Republican,2,100.0,Missouri,21.7,851.0
29015,Benton County,republican,False,J. Brunner,Republican,3,100.0,Missouri,20.8,818.0
29015,Benton County,republican,False,C. Hanaway,Republican,4,100.0,Missouri,16.1,632.0
29015,Benton County,independent_or_other,False,C. Spragins,Independent,1,100.0,Missouri,,
29017,Bollinger County,democrat,False,C. Koster,Democrat,1,100.0,Missouri,69.4,152.0
29017,Bollinger County,democrat,False,E. Morrison,Democrat,2,100.0,Missouri,16.4,36.0
29017,Bollinger County,democrat,False,C. Wheeler,Democrat,3,100.0,Missouri,9.6,21.0
29017,Bollinger County,democrat,False,L. Steinman,Democrat,4,100.0,Missouri,4.6,10.0
29017,Bollinger County,republican,False,E. Greitens,Republican,1,100.0,Missouri,32.1,687.0
29017,Bollinger County,republican,False,P. Kinder,Republican,2,100.0,Missouri,40.0,855.0
29017,Bollinger County,republican,False,J. Brunner,Republican,3,100.0,Missouri,15.9,340.0
29017,Bollinger County,republican,False,C. Hanaway,Republican,4,100.0,Missouri,12.0,257.0
29017,Bollinger County,independent_or_other,False,C. Spragins,Independent,1,100.0,Missouri,,
29019,Boone County,democrat,False,C. Koster,Democrat,1,100.0,Missouri,86.4,11005.0
29019,Boone County,democrat,False,E. Morrison,Democrat,2,100.0,Missouri,7.1,905.0
29019,Boone County,democrat,False,C. Wheeler,Democrat,3,100.0,Missouri,4.5,571.0
29019,Boone County,democrat,False,L. Steinman,Democrat,4,100.0,Missouri,2.0,251.0
29019,Boone County,republican,False,E. Greitens,Republican,1,100.0,Missouri,31.7,4768.0
29019,Boone County,republican,False,C. Hanaway,Republican,2,100.0,Missouri,23.2,3492.0
29019,Boone County,republican,False,P. Kinder,Republican,3,100.0,Missouri,22.8,3432.0
29019,Boone County,republican,False,J. Brunner,Republican,4,100.0,Missouri,22.2,3333.0
29019,Boone County,independent_or_other,False,C. Spragins,Independent,1,100.0,Missouri,,
29021,Buchanan County,democrat,False,C. Koster,Democratic,1,100.0,Missouri,67.9,3010.0
29021,Buchanan County,democrat,False,C. Wheeler,Democratic,2,100.0,Missouri,14.6,645.0
29021,Buchanan County,democrat,False,E. Morrison,Democratic,3,100.0,Missouri,12.0,534.0
