fips,geo_name,individual_party,is_incumbent,is_winner,name,rank,reporting_pct,state,vote_pct,votes
1,1st District Election,independent_or_other,False,False,T. Simmons,3,100.0,Massachusetts,8.6,27427.0
2,2nd District Election,democrat,True,True,J. McGovern,1,100.0,Massachusetts,,
3,3rd District Election,democrat,True,True,N. Tsongas,1,100.0,Massachusetts,68.7,234361.0
3,3rd District Election,republican,False,False,A. Wofford,2,100.0,Massachusetts,31.3,106882.0
4,4th District Election,democrat,True,True,J. Kennedy,1,100.0,Massachusetts,70.0,261356.0
4,4th District Election,republican,False,False,D. Rosa,2,100.0,Massachusetts,30.0,111890.0
5,5th District Election,democrat,True,True,K. Clark,1,100.0,Massachusetts,,
6,6th District Election,democrat,True,True,S. Moulton,1,100.0,Massachusetts,,
7,7th District Election,democrat,True,True,M. Capuano,1,100.0,Massachusetts,,
8,8th District Election,democrat,True,True,S. Lynch,1,100.0,Massachusetts,72.4,267944.0
8,8th District Election,republican,False,False,W. Burke,2,100.0,Massachusetts,27.6,102146.0
9,9th District Election,democrat,True,True,B. Keating,1,100.0,Massachusetts,55.7,209911.0
9,9th District Election,republican,False,False,M. Alliegro,2,100.0,Massachusetts,33.8,127199.0
9,9th District Election,independent_or_other,False,False,P. Harrington,3,100.0,Massachusetts,6.9,26086.0
9,9th District Election,independent_or_other,False,False,C. Cataldo,4,100.0,Massachusetts,2.2,8266.0
9,9th District Election,independent_or_other,False,False,A. Raduc,5,100.0,Massachusetts,1.4,5261.0
1,1st District Election,republican,False,True,J. Bergman,1,100.0,Michigan,55.3,201153.0
1,1st District Election,democrat,False,False,L. Johnson,2,100.0,Michigan,39.7,144319.0
1,1st District Election,independent_or_other,False,False,D. Bostow,3,100.0,Michigan,3.7,13385.0
1,1st District Election,independent_or_other,False,False,E. Boal,4,100.0,Michigan,1.3,4773.0
2,2nd District Election,republican,True,True,B. Huizenga,1,100.0,Michigan,62.7,213095.0
2,2nd District Election,democrat,False,False,D. Murphy,2,100.0,Michigan,32.4,110077.0
2,2nd District Election,independent_or_other,False,False,E. Haas,3,100.0,Michigan,2.4,8166.0
2,2nd District Election,independent_or_other,False,False,M. Brady,4,100.0,Michigan,1.6,5362.0
2,2nd District Election,independent_or_other,False,False,R. Graeser,5,100.0,Michigan,0.9,2898.0
3,3rd District Election,republican,True,True,J. Amash,1,100.0,Michigan,59.4,203069.0
3,3rd District Election,democrat,False,False,D. Smith,2,100.0,Michigan,37.5,128159.0
3,3rd District Election,independent_or_other,False,False,T. Gerrard,3,100.0,Michigan,3.0,10374.0
4,4th District Election,republican,True,True,J. Moolenaar,1,100.0,Michigan,61.6,194569.0
4,4th District Election,democrat,False,False,D. Wirth,2,100.0,Michigan,32.1,101275.0
4,4th District Election,independent_or_other,False,False,L. Schwartz,3,100.0,Michigan,2.7,8514.0
4,4th District Election,independent_or_other,False,False,G. Zimmer,4,100.0,Michigan,1.8,5595.0
4,4th District Election,independent_or_other,False,False,J. Salvi,5,100.0,Michigan,1.3,3953.0
